shapeID,shapeName,shapeGroup,shapeType,under18_sum,valid_cell_count,adm2_join_name,has_ipc_2022_data,province,ipc_area,analysis_date,current_from,current_to,population_analyzed_current,phase3plus_number_current,phase3plus_fraction_current,phase3plus_percent_current,under18_phase3plus_exposure_proxy_2022
85939544B29216683074298,Meluco,MOZ,ADM2,21276.921875,14629,meluco,False,Cabo Delgado,Meluco,Nov 2022,2022-10-01,2023-03-31,0.0,,,,
85939544B76219123027909,Memba,MOZ,ADM2,198206.15625,123095,memba,True,Nampula,Memba,Nov 2022,2022-10-01,2023-03-31,384984.0,46197.0,0.12,12.0,23784.73875
85939544B27352268742856,Metarica,MOZ,ADM2,28236.9453125,43807,metarica,True,Niassa,Metarica,Nov 2022,2022-10-01,2023-03-31,57196.0,0.0,0.0,0.0,0.0
85939544B43724113746926,Metuge,MOZ,ADM2,49729.4296875,10570,metuge,False,,,,,,,,,,
85939544B24654814708458,Milange,MOZ,ADM2,363712.4375,351980,milange,True,Zambezia,Milange,Nov 2022,2022-10-01,2023-03-31,713553.0,35677.0,0.05,5.0,18185.621875
85939544B51879158696861,Moamba,MOZ,ADM2,42826.38671875,93002,moamba,True,Maputo,Moamba,Nov 2022,2022-10-01,2023-03-31,115127.0,23025.0,0.2,20.0,8565.27734375
85939544B94790467869630,Moatize,MOZ,ADM2,153534.53125,127283,moatize,True,Tete,Moatize,Nov 2022,2022-10-01,2023-03-31,331950.0,33195.0,0.1,10.0,15353.453125
85939544B54758933622764,Mocimboa Da Praia,MOZ,ADM2,68172.4609375,18038,mocimboa da praia,False,Cabo Delgado,Mocimboa da praia,Nov 2022,2022-10-01,2023-03-31,0.0,,,,
85939544B358257057392,Mocuba,MOZ,ADM2,242756.859375,320779,mocuba,True,Zambezia,Mocuba,Nov 2022,2022-10-01,2023-03-31,482884.0,24144.0,0.05,5.0,12137.842968750001
85939544B38416709222197,Mocubela,MOZ,ADM2,72527.9296875,81860,mocubela,True,Zambezia,Mocubela,Nov 2022,2022-10-01,2023-03-31,144490.0,0.0,0.0,0.0,0.0
85939544B68532442394498,Mogincual,MOZ,ADM2,59268.5703125,40535,mogincual,True,Nampula,Mogincual,Nov 2022,2022-10-01,2023-03-31,111074.0,22214.0,0.2,20.0,11853.714062500001
85939544B32350532447413,Mogovolas,MOZ,ADM2,217384.984375,268740,mogovolas,True,Nampula,Mogovolas,Nov 2022,2022-10-01,2023-03-31,437409.0,109352.0,0.25,25.0,54346.24609375
85939544B56224707964526,Molumbo,MOZ,ADM2,201067.8125,283699,molumbo,True,Zambezia,Molumbo,Nov 2022,2022-10-01,2023-03-31,383980.0,38398.0,0.1,10.0,20106.78125
85939544B26201267157646,Moma,MOZ,ADM2,193986.375,148814,moma,True,Nampula,Moma,Nov 2022,2022-10-01,2023-03-31,384612.0,49999.0,0.13,13.0,25218.228750000002
85939544B30642509050116,Monapo,MOZ,ADM2,234931.09375,157711,monapo,True,Nampula,Monapo,Nov 2022,2022-10-01,2023-03-31,473957.0,71092.0,0.15,15.0,35239.6640625
85939544B74766547400417,Montepuez,MOZ,ADM2,151064.21875,70336,montepuez,False,,,,,,,,,,
85939544B50332228011696,Mopeia,MOZ,ADM2,96022.78125,100373,mopeia,True,Zambezia,Mopeia,Nov 2022,2022-10-01,2023-03-31,183429.0,27514.0,0.15,15.0,14403.4171875
85939544B61462515035200,Morrumbala,MOZ,ADM2,231907.734375,250850,morrumbala,True,Zambezia,Morrumbala,Nov 2022,2022-10-01,2023-03-31,421084.0,84216.0,0.2,20.0,46381.546875
85939544B85400452133709,Morrumbene,MOZ,ADM2,73701.3828125,135280,morrumbene,True,Inhambane,Morrumbene,Nov 2022,2022-10-01,2023-03-31,145468.0,21819.0,0.15,15.0,11055.207421875
85939544B64339198961844,Mossuril,MOZ,ADM2,99387.0234375,61906,mossuril,True,Nampula,Mossuril,Nov 2022,2022-10-01,2023-03-31,208339.0,20833.0,0.1,10.0,9938.702343750001
